marking,ID,sex,thorax.mm,matings,thorax.oc,
.0,A,Male,1.35,0,81,
.1,B,Male,1.33,2,80,
.2,C,Male,1.33,1,80,
.3,D,Male,1.38,0,83,
.4,E,Male,1.37,1,82,
.5,F,Male,1.37,2,82,
.6,G,Male,1.27,1,76,
.7,H,Male,1.32,3,79,
.8,I,Male,1.37,4,82,
.9,J,Male,1.30,1,78,
:0,K,Male,1.37,0,82,
:1,L,Male,1.35,1,81,
0.,M,Female,1.42,0,85,
1.,N,Female,1.47,2,88,
2.,O,Female,1.47,2,88,
3.,P,Female,1.50,1,90,
4.,Q,Female,1.35,0,81,
5.,R,Female,1.47,2,88,
6.,S,Female,1.35,7,81,
7.,T,Female,1.33,0,80,
8.,U,Female,1.40,1,84,
9.,V,Female,1.42,1,85,
0:,W,Female,1.55,0,93,
1:,X,Female,1.50,0,90,
,,,,,,
,,,,,,
,,,,,,
,,,,,  ,
