Group.Num,Replicate,Day,Time,Location,Members
1,1,1,1000,1,R E
2,1,1,1000,2,D B I
3,1,1,1000,7,F H
4,1,1,1000,10,S T
5,1,1,1115,1,R E
6,1,1,1115,2,B A I L
7,1,1,1115,4,M N
8,1,1,1115,7,F H K
9,1,1,1115,8,J W
10,1,1,1115,12,S V
11,1,1,1230,1,R E
12,1,1,1230,2,A B D I
13,1,1,1230,4,M N X
14,1,1,1230,7,H C F K L
15,1,1,1300,1,R E
16,1,1,1300,2,A B I D
17,1,1,1300,4,M O
18,1,1,1300,6,W Q
19,1,1,1300,7,W X F H
20,1,1,1430,1,R E Q X 
21,1,1,1430,2,A B I
22,1,1,1430,4,M N W
23,1,1,1430,7,L F C
24,1,1,1530,1,R E 
25,1,1,1530,2,A W 
26,1,1,1530,7,C H B X
27,1,1,1530,8,K L
28,1,1,1630,2,D I 
29,1,1,1630,7,B H X
30,1,1,1630,11,C N
31,1,1,1730,2,A T 
32,1,1,1730,7,L M
33,1,1,1800,4,E J L U
34,1,1,1800,10,B F
35,1,2,1000,1,T W
36,1,2,1000,2,A S V 
37,1,2,1000,4,C J
38,1,2,1000,6,B R
39,1,2,1000,7,H O
40,1,2,1000,8,K L
41,1,2,1000,11,X F Q M U
42,1,2,1115,2,A S V 
43,1,2,1115,4,C J
44,1,2,1115,6,N R
45,1,2,1115,7,T H 
46,1,2,1115,7,H O
47,1,2,1115,8,K L
48,1,2,1115,11,X F Q M U
49,1,2,1230,2,A S V 
50,1,2,1230,4,C J
51,1,2,1230,6,N R
52,1,2,1230,8,K L
53,1,2,1230,11,F M U X 
54,1,2,1230,11,Q T
55,1,2,1330,2,A S V 
56,1,2,1330,4,C J 
57,1,2,1330,6,N R
58,1,2,1330,8,D K L
59,1,2,1330,11,F M U X 
60,1,2,1330,11,Q T 
61,1,2,1430,2,A S V 
62,1,2,1430,4,C J
63,1,2,1430,6,N R
64,1,2,1430,8,D K L
65,1,2,1430,11,F M U X 
66,1,2,1430,11,Q T
